s_suppkey,s_name,s_address,s_nationkey,s_phone,s_acctbal,s_comment
1,"Supplier#000000001","sdrGnXCDRcfriBvY0KL,ipCanOTyK t NN1",17,27-918-335-1736,5755.94, instructions. slyly unusual
2,"Supplier#000000002",TRMhVHz3XiFuhapxucPo1,5,15-679-861-2259,4032.68, the pending packages. furiously expres
3,"Supplier#000000003",BZ0kXcHUcHjx62L7CjZSql7gbWQ6RPn5X,1,11-383-516-1199,4192.40,ong the fluffily idle packages: bold foxes mold silent package
4,"Supplier#000000004",qGTQJXogS83a7MBnEweGHKevK,15,25-843-787-7479,4641.08,al braids affix through the regular
5,"Supplier#000000005",lONEYAh9sFWAF75tO,11,21-151-690-3663,-283.84,accounts. instructions ha
6,"Supplier#000000006",zaux5FTzToEg,14,24-696-997-4969,1365.79, sleep fluffily against the blithely special dugouts. furiously express th
7,"Supplier#000000007", 0W7IPdkpWycUbQ9Adp6B,23,33-990-965-2201,6820.35,ke across the slyly ironic packages. carefully special pinto beans wake blithely. even deposits los
8,"Supplier#000000008",S8AWPqjYlanEQlcDO2WV 97uCVtxCk,17,27-498-742-3860,7627.85,iously about the bold packages. 
9,"Supplier#000000009",",gJ6K2MKveYxQTN 2EMG3pzg",10,20-403-398-8662,5302.37,asymptotes cajole along the furiously bold deposits. iron
10,"Supplier#000000010",9QtKQKXK24fBTYIsb2,24,34-852-489-8585,3891.91,ronic pinto beans. slyly even i
11,"Supplier#000000011",iLv7z1f1 51re0Rp,18,28-613-996-1505,3393.08,"efully across the furiously regular requests. pending, regular instructions against the bold, expre"
12,"Supplier#000000012","Rfi4rsA,j2O",8,18-179-925-7181,1432.69,ending deposits. carefully express dependencies detect. blithely regular pla
13,"Supplier#000000013",kgTZjbt4CAa4c3SlirlBLqIL41YbCj,3,13-727-620-7813,9107.22,against the quickly ironic packages. slyly regular excuses wake since
14,"Supplier#000000014",n3zDcWB7dHXI19E,15,25-656-247-5058,9189.82,leep despite the fluffily thin accounts. caref
15,"Supplier#000000015",DF35PepL5saAKCGAZ70iN,8,18-453-357-6394,308.56,nently against the bravely bold deposits. carefully ironic platelets are. pendi
16,"Supplier#000000016",3HbVoWVsjn4fTfQGgYTsMaDvMINBIDXqeBwK,22,32-822-502-4215,2972.26,platelets thrash against the slyly special req
17,"Supplier#000000017","PYN0m9j98GhX42DvBKvURcAd,B",19,29-601-884-9219,1687.81,se slyly furiously even notornis. furiously regular packa
18,"Supplier#000000018",ckk5mWb4qewgn1vs,16,26-729-551-1115,7040.82,es wake above the slyly ironic pearls
19,"Supplier#000000019",NN17XNz0DpmnSFp47kM7G,24,34-278-310-2731,6150.38,g the carefully regular packages. blithely unusual instructions sl
20,"Supplier#000000020",JtPqm19E7tF 152Rl1wQZ8j0H,3,13-715-945-6730,530.82,es. fluffily ironic instructions nag slyly slyly pending realms. blithely final r
21,"Supplier#000000021","TZoQwNFFO i,baXpbpin02,hvuhE,GRVIKm ",2,12-253-590-5816,9365.80,thlessly bold accounts. slyly even accounts against the special requests boost slyly bl
22,"Supplier#000000022","DGIIamGrSFFUm53Va,0PnOc",4,14-144-830-2814,-966.20,oxes among the special pains cajole furiously
23,"Supplier#000000023", zMyxL7O3O0SUAFoTrY7gVO mnM8XsH,9,19-559-422-5776,5926.41,sual asymptotes affix quickly at the instructions. deposits 
24,"Supplier#000000024",pWDbwg 5EgcbQPlpH,0,10-620-939-2254,9170.71,olphins. unusual deposits nag along the fluffily
25,"Supplier#000000025",aoagce3elDACNssVvTLcQl55Up6EYA,22,32-431-945-3541,9198.31,"quickly pending accounts cajole blithely against the ironic, pending theodolites. even, silent reque"
26,"Supplier#000000026","J50ejtquU1SXRxsmdGA,Se,QZsepLjU",21,31-758-894-4436,21.18, from the foxes. special deposits cajole blithely special theodolites-- quickly bold 
27,"Supplier#000000027",GoWoHhvdj6AUfWujBscphWdFjHl7K,18,28-708-999-2028,1887.62,permanently bold gifts. unusual instructions af
28,"Supplier#000000028",lpJwCaJ0T2jdr5,0,10-538-384-8460,-891.99,"ng the packages. even, regular asymptotes hang carefully. quietly express epitaphs are about the f"
29,"Supplier#000000029",VVSymB3fbwaNUuBmNAoY,1,11-555-705-5922,-811.62, across the furiously final theodolites are against the quickly thin requests. instructio
30,"Supplier#000000030","TWdEo, EaLd,LHXtGCPf8",16,26-940-594-4852,8080.14,lyly pending requests run slyly furiously slow deposits. carefully regular deposits use. packages ar
31,"Supplier#000000031",M9hIErTsOJuqBA9gjOaMDO5Bb,16,26-515-530-4159,5916.91,s use carefully according to the slyly regular accounts. packages among the st
